,주소,커피빈입점
95, 경기도 고양시 일산동구 중앙로 1193 마두법조빌딩 1층 ,1
96," 경기도 안양시 동안구 시민대로327번길 6, W 에이스타워 1층 ",1
97, 경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층 ,1
98, 경기도 성남시 분당구 판교역로145(백현동) 판교알파돔 C2-3블럭 1층 ,1
99, 경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층 ,1
100, 경기 이천시 부발읍 하이닉스반도체 ,1
101," 경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호  ",1
102, 경기 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호 ,1
103, 경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층 ,1
104, 경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층 ,1
105, 경기도 구리시 검배로3 현대자동차1층 ,1
106, 경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F ,1
107, 경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층 ,1
108, 경기도 성남시 분당구 동판교로177번길 25 ,1
109, 경기도 수원시 팔달구 권광로 195 학산빌딩1층  ,1
110, 경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F ,1
111, 경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F ,1
112, 경기도 화성시 노작로 199 동탄라마다호텔107호~111호 ,1
113, 경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층 ,1
114, 경기도 성남시 분당구 야탑동354 분당차병원신관1층분당차1호 ,1
115, 경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층 ,1
116," 경기도 성남시 분당구 분당로53번길 11 1층2,3호 ",1
117," 경기도 부천시 원미구 길주로 180 현대백화점 B1-120,121호 ",1
118, 경기도 고양시 일산동구 정발산로 24 웨스턴돔 A-303 ,1
119, 경기도 고양시 일산동구 정발산로 24 I동103~203호 ,1
120, 경기도 고양시 일산동구 장항동 764 라페스타C동 ,1
121," 인천시 중구 신도시남로 142번길 6 (메가스타 영종 139,140,141호) ",1
122, 인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124) ,1
123,"  인천 연수구 송도과학로 16번길 33-4 D동 119호,207호 ",1
124, 인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층 ,1
125, 인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68 ,1
126, 인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57 ,1
127," 인천광역시 부평구 시장로29 1,2층 ",1
128," 인천광역시 남동구 예술로 138 지상1,2층 ",1
129, 강원도 원주시 봉화로1 AK플라자원주점 1층 ,1
130, 경남 창원시 의창구 원이대로 320 더시티세븐 1F Skycone 105호 ,1
131, 경상남도 진주시 충의로 19 LH진주사옥 홍보관1층 ,1
132, 경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호 ,1
133, 경상북도 경주시 엑스포로80(천군동)1층 ,1
134, 경상북도 포항시 북구 삼호로265번길1 NB-City복합시설1층104호 ,1
135," 광주 서구 상무중앙로 9, 동양빌딩 1F ",1
136, 대구광역시 중구 중앙대로 412-18 ,1
137, 대전시 서구 문정로76 1층 ,1
138, 대전광역시 서구 둔산로26 소레빌딩 ,1
139, 부산 중구 해관로 1 희남빌딩 1층 ,1
140, 부산 해운대구 센텀3로 20 해운대센텀호텔 1F 101호 ,1
141, 부산 부산진구 서면로 62-1 에이스메디컬타워 1F ,1
142," 부산광역시 부산진구 서전로 12, 1층 ",1
143," 부산광역시 기장군 정관로 563 1층,2층 ",1
144, 부산광역시 수영구 수영로 667 1층 ,1
145, 부산시 해운대구 해운대 해변로277 다옴빌딩1층 ,1
146, 부산광역시 중구 창선동 2가 8-2 ,1
147, 울산광역시 남구 삼산로 261 현대백화점5층 ,1
148, 울산광역시 남구 화합로 185 업스퀘어 1층 ,1
149, 충남 천안시 동남구 만남로 48(신부동) ,1
150, 세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층 ,1
151," 충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호 ",1
152, 충북 청주시 상당구 상당로69번길20 2~4층 ,1
